	gene_symbol	1.11
215590_x_at	LOC100128640	0.000156783527244
212704_at	ZCCHC11	0.000156819344415
205523_at	HAPLN1	0.00015685083693
213395_at	MLC1	-0.000157004947952
207931_s_at	PFKFB2	0.000157196788263
215640_at	TBC1D2B	-0.000157198291459
219895_at	FAM70A	-0.00015721441138
215082_at	ELOVL5	0.000157872625551
200595_s_at	EIF3A	0.00015796560791
214440_at	NAT1	-0.000158007027363
210998_s_at	HGF	-0.000158082141107
216337_at	-666	0.000158334843071
204368_at	SLCO2A1	-0.000158754400044
210862_s_at	SARDH	0.000158939886324
210040_at	SLC12A5	-0.000159004167087
214018_at	GRIP1	0.000159016697827
222088_s_at	-666	0.000159488032279
203424_s_at	IGFBP5	-0.000159618156332
202399_s_at	AP3S2	-0.000159665331089
206557_at	ZNF702P	-0.000159834983171
220910_at	FRAS1	-0.000159872998246
216023_at	KDM4B	-0.00016006117669
209594_x_at	PSG9	0.000160096182505
214993_at	ASPHD1	0.000160376108148
206520_x_at	SIGLEC6	0.000160460624875
217424_at	-666	-0.000161306416713
215890_at	GM2A	-0.000161369696342
207808_s_at	PROS1	-0.000161759635552
207044_at	THRB	-0.000161815187308
208560_at	KCNA10	0.000161883941306
215562_at	TTC39A	-0.000162618513015
202938_x_at	-666	0.000162943424445
220912_at	-666	-0.000163046719611
218389_s_at	APH1A	0.00016326931585
215827_x_at	CROCCP3	-0.000163621248648
220130_x_at	LTB4R2	0.000163634384485
213514_s_at	DIAPH1	-0.000163682321347
214131_at	-666	-0.000163784692804
221813_at	FBXO42	-0.000164069283313
202845_s_at	RALBP1	0.000164326234623
212453_at	KIAA1279	-0.000164347752164
205937_at	CGREF1	-0.00016480485739
216055_at	PDGFB	-0.000164975036163
215408_at	-666	-0.000165094673039
210800_at	TIMM8A	0.000165165914233
200024_at	RPS5	-0.000165274350186
203742_s_at	TDG	0.000165656875619
216293_at	CLTA	0.000166013676768
203934_at	KDR	-0.000166073122991
205303_at	KCNJ8	-0.000166076541861
218630_at	MKS1	-0.000166763560444
212904_at	LRRC47	0.000166896273371
211838_x_at	PCDHA5	-0.000166912250852
214813_at	ZNF75D	0.000167279096476
208825_x_at	RPL23A	0.000167450587713
222355_at	-666	0.000167915504046
220820_at	-666	-0.000168120530976
208843_s_at	GORASP2	-0.000168150020126
212876_at	B4GALT4	-0.000168301805783
206962_x_at	-666	0.00016859479046
221391_at	TAS2R14	0.000168621965098
218641_at	C11ORF95	0.000168720300216
205447_s_at	MAP3K12	0.000169882177195
210944_s_at	CAPN3	0.000170225137
210370_s_at	LY9	0.000170446593442
220034_at	IRAK3	-0.000170462695849
204034_at	ETHE1	-0.000170742366109
212790_x_at	RPL13A	-0.000170870003142
205058_at	SLC26A1	-0.00017127930795
208448_x_at	IFNA16	0.000171402268135
215920_s_at	-666	-0.000171752439191
216150_at	-666	-0.000171968405264
220866_at	ADAMTS6	-0.000171971800785
210419_at	BARX2	0.000172035553155
212471_at	AVL9	0.00017248082528
215476_at	-666	-0.00017262540503
221173_at	USH1C	0.000173178864219
200969_at	SERP1	0.000173269471814
